,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
7,8,2004-01-03,Oficina,Venta,Girona,235,2158475,2004-10-31,Jesús
9,10,2004-01-04,Parking,Venta,Lleida,299,2042768,2004-10-06,Joaquín
12,13,2004-01-04,Parking,Venta,Barcelona,300,2937300,2004-11-04,Jesús
20,21,2004-01-09,Industrial,Venta,Barcelona,228,2020992,2004-06-12,Carmen
33,34,2004-01-15,Casa,Venta,Barcelona,281,2483197,2004-11-01,María
65,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
68,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09,María
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
85,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
117,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
165,166,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29,Luisa
172,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
204,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
227,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
240,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
248,249,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
271,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
276,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
281,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
351,352,2004-05-14,Casa,Venta,Tarragona,241,2060550,2004-10-10,Luisa
379,380,2004-05-25,Local,Venta,Lleida,269,2586704,2005-03-27,Carmen
451,452,2004-06-19,Suelo,Venta,Lleida,215,2097970,2004-11-13,Pedro
485,486,2004-06-30,Piso,Venta,Girona,283,2199476,2005-06-04,Luisa
486,487,2004-06-30,Casa,Venta,Lleida,261,2475063,2005-01-21,Carmen
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
507,508,2004-07-05,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
581,582,2004-07-31,Industrial,Venta,Lleida,290,2584480,2004-11-22,Jesús
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
620,621,2004-08-14,Industrial,Venta,Tarragona,223,2171128,2005-03-23,Carmen
640,641,2004-08-19,Oficina,Venta,Girona,249,2306238,2005-03-02,María
654,655,2004-08-22,Oficina,Venta,Girona,293,2787016,2005-03-23,Luisa
669,670,2004-08-28,Industrial,Venta,Barcelona,289,2188597,2005-04-27,María
683,684,2004-08-31,Parking,Venta,Tarragona,247,2285244,2005-03-07,María
700,701,2004-09-06,Casa,Venta,Girona,225,2023200,2004-12-27,Joaquín
710,711,2004-09-10,Casa,Venta,Tarragona,289,2114035,2004-12-14,Luisa
719,720,2004-09-11,Casa,Venta,Tarragona,226,2216608,2005-07-09,Luisa
754,755,2004-09-25,Oficina,Venta,Tarragona,235,2202655,2005-04-16,Pedro
786,787,2004-10-06,Casa,Venta,Barcelona,279,2064879,2005-05-07,María
811,812,2004-10-16,Oficina,Venta,Tarragona,236,2208252,2005-04-21,Pedro
835,836,2004-10-25,Suelo,Venta,Tarragona,274,2124596,2005-02-21,Carmen
856,857,2004-11-03,Industrial,Venta,Girona,238,2379048,2005-09-08,María
859,860,2004-11-03,Piso,Venta,Lleida,288,2242656,2005-02-11,Jesús
890,891,2004-11-13,Casa,Venta,Girona,255,2543625,2005-08-29,Pedro
897,898,2004-11-15,Casa,Venta,Barcelona,258,2449452,2005-03-14,Jesús
930,931,2004-11-27,Suelo,Venta,Lleida,223,2053384,2005-11-13,Carmen
949,950,2004-12-05,Piso,Venta,Girona,233,2153852,2005-03-11,Pedro
